subtype
Padrão Linha
Padrão Linha Reverso
Padrão Coluna
Padrão Coluna Reverso
Padrão Coluna Subtítulo
Esconder - Itens - Metade
Esconder - Itens - Último
Esconder - Itens - Vogais
Esconder - Itens - Consoantes
Agrupamento
Agrupamento de Maiúsculas
Checkbox
Quebra-Cabeças
Bingo
Bingo de Palavras
Desembaralhar Nome
Monte Seu Nome
Risca Letras
Dominó de Nomes
Formação de Palavras
Encaixe Letras
Não Pertence
Caça Nomes
Meus Amigos - Fotos
Meu Crachá
Escreva o Nome
Jogo da Memória
Palavra Secreta
Segredo das Palavras
Apresentação Leitura
Apresentação Imagem
Completa Frase
Completa Palavra Com Letra
Completa Palavra Com Sílaba
Acentuação
Descubra a Palavra
Monte a Palavra
Texto - Letras Maiúsculas
